exp_id,condition,species_id,f1,precision,recall,scientific_name
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,A,1384499,0.7566137566137566,,,Lagenaria siceraria (Molina) Standl.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,A,1385700,0.7428571428571429,,,Barringtonia asiatica (L.) Kurz
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,A,1392654,0.7729575163398693,,,Gomphocarpus physocarpus E.Mey.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,A,1397598,0.8153717627401837,,,Cobaea scandens Cav.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,A,1406486,0.4576719576719577,,,Kigelia africana (Lam.) Benth.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,A,1406863,0.46597653554175295,,,Acalypha indica L.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,A,1408490,0.6851851851851851,,,Pereskia grandifolia Haw.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,A,1408557,0.51010101010101,,,Pongamia pinnata (L.) Pierre
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,A,1409195,0.5296296296296296,,,Pereskia aculeata Mill.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,A,1416509,0.9259259259259259,,,Nepenthes vieillardii Hook. f.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,A,1419807,0.6,,,Vanilla planifolia Jacks. ex Andrews
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,A,1420787,0.9411764705882352,,,Alocasia odora (Lindl.) K.Koch
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,A,1618661,0.8714285714285714,,,Dendrobium victoriae-reginae Loher
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,B,1356076,0.22023809523809523,,,Tradescantia zebrina Heynh. ex Bosse
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,B,1376703,0.576923076923077,,,Petiveria alliacea L.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,B,1384499,0.8116483516483517,,,Lagenaria siceraria (Molina) Standl.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,B,1385700,0.5872649572649573,,,Barringtonia asiatica (L.) Kurz
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,B,1392654,0.7728715728715728,,,Gomphocarpus physocarpus E.Mey.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,B,1397598,0.7525189786059352,,,Cobaea scandens Cav.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,B,1406486,0.6068111455108359,,,Kigelia africana (Lam.) Benth.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,B,1406863,0.6128364389233955,,,Acalypha indica L.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,B,1408490,0.6527777777777777,,,Pereskia grandifolia Haw.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,B,1408557,0.5521929824561403,,,Pongamia pinnata (L.) Pierre
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,B,1409195,0.47992530345471524,,,Pereskia aculeata Mill.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,B,1416509,0.872053872053872,,,Nepenthes vieillardii Hook. f.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,B,1419807,0.6484848484848484,,,Vanilla planifolia Jacks. ex Andrews
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,B,1420787,0.7780562517404622,,,Alocasia odora (Lindl.) K.Koch
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,B,1618661,0.8857142857142857,,,Dendrobium victoriae-reginae Loher
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,C,1356076,0.19027347781217752,,,Tradescantia zebrina Heynh. ex Bosse
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,C,1376703,0.6074074074074074,,,Petiveria alliacea L.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,C,1384499,0.7960834397616007,,,Lagenaria siceraria (Molina) Standl.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,C,1385700,0.6909090909090909,,,Barringtonia asiatica (L.) Kurz
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,C,1392654,0.7619726678550207,,,Gomphocarpus physocarpus E.Mey.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,C,1397598,0.7313766086144602,,,Cobaea scandens Cav.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,C,1406486,0.5042016806722689,,,Kigelia africana (Lam.) Benth.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,C,1406863,0.5787878787878787,,,Acalypha indica L.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,C,1408490,0.5895969498910676,,,Pereskia grandifolia Haw.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,C,1408557,0.47515848444641007,,,Pongamia pinnata (L.) Pierre
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,C,1409195,0.5703242835595778,,,Pereskia aculeata Mill.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,C,1416509,0.8727272727272727,,,Nepenthes vieillardii Hook. f.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,C,1419807,0.4523809523809524,,,Vanilla planifolia Jacks. ex Andrews
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,C,1420787,0.9607843137254902,,,Alocasia odora (Lindl.) K.Koch
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,C,1618661,0.8441558441558441,,,Dendrobium victoriae-reginae Loher
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,D,1356076,0.23358908780903667,,,Tradescantia zebrina Heynh. ex Bosse
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,D,1376703,0.4148148148148148,,,Petiveria alliacea L.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,D,1384499,0.7463685739547808,,,Lagenaria siceraria (Molina) Standl.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,D,1385700,0.7080745341614906,,,Barringtonia asiatica (L.) Kurz
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,D,1392654,0.7599524658348188,,,Gomphocarpus physocarpus E.Mey.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,D,1397598,0.6969696969696969,,,Cobaea scandens Cav.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,D,1406486,0.41269841269841273,,,Kigelia africana (Lam.) Benth.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,D,1406863,0.5,,,Acalypha indica L.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,D,1408490,0.628826969384245,,,Pereskia grandifolia Haw.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,D,1408557,0.5665349143610013,,,Pongamia pinnata (L.) Pierre
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,D,1409195,0.4738562091503267,,,Pereskia aculeata Mill.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,D,1416509,0.8111111111111112,,,Nepenthes vieillardii Hook. f.
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,D,1419807,0.6238095238095238,,,Vanilla planifolia Jacks. ex Andrews
