exp_id,k,p,loss,gamma,es_monitor,C,R,condition,n_seeds,rare_f1_mean,rare_f1_std,rare_recall_mean,rare_recall_std,rare_precision_mean,rare_precision_std,overall_f1_mean,overall_f1_std,overall_acc_mean,overall_acc_std
exp_0005_Cmedian_gap_pow_k2.0_p0.5_mid_focal,2.0,0.5,focal,2.0,overall_f1,121.0,96.0,A,3,0.6448837471119878,0.03242596374173512,0.6500196716863383,0.03551459293736552,0.6743570300433045,0.04339098445945154,0.628121672118127,0.0021445576380119263,0.7136659436008678,0.0015642304882706925
exp_0005_Cmedian_gap_pow_k2.0_p0.5_mid_focal,2.0,0.5,focal,2.0,overall_f1,121.0,96.0,B,3,0.6322533599638697,0.01983725086447873,0.6796486229819564,0.019722061387147976,0.6107353547343227,0.030263394580779018,0.6298141012033995,0.00796142604603189,0.7140997830802602,0.0021691973969631406
exp_0005_Cmedian_gap_pow_k2.0_p0.5_mid_focal,2.0,0.5,focal,2.0,overall_f1,121.0,96.0,C,3,0.6263607474585098,0.0031208467089486776,0.6525451092117759,0.009756132832772067,0.6203441441599336,0.009228855597934583,0.6215462136137372,0.0068738255020593525,0.7139551699204628,0.006291918992858127
exp_0005_Cmedian_gap_pow_k2.0_p0.5_mid_focal,2.0,0.5,focal,2.0,overall_f1,121.0,96.0,D,3,0.628417335413174,0.03325489441975798,0.6620655270655271,0.027764887409696102,0.6250863189098483,0.03913557042209657,0.623039422004112,0.005203610509366388,0.7119305856832971,0.004831031985101949
exp_0006_Cmedian_gap_pow_k0.5_p0.5_mid_focal,0.5,0.5,focal,2.0,overall_f1,121.0,96.0,A,3,0.6448837471119878,0.03242596374173512,0.6500196716863383,0.03551459293736552,0.6743570300433045,0.04339098445945154,0.628121672118127,0.0021445576380119263,0.7136659436008678,0.0015642304882706925
exp_0006_Cmedian_gap_pow_k0.5_p0.5_mid_focal,0.5,0.5,focal,2.0,overall_f1,121.0,96.0,B,3,0.637206589194475,0.020325331883464092,0.6990137023470356,0.03252490730608693,0.6123719853131618,0.021112067753060886,0.624695693158257,0.0044486481787212595,0.7119305856832971,0.001988102253776977
exp_0006_Cmedian_gap_pow_k0.5_p0.5_mid_focal,0.5,0.5,focal,2.0,overall_f1,121.0,96.0,C,3,0.6296697109822663,0.03347562305361665,0.6468247184913852,0.018534142345996988,0.6437574683085519,0.05306896074086735,0.6206730523534927,0.008542311809070415,0.7139551699204628,0.004452582593880195
exp_0006_Cmedian_gap_pow_k0.5_p0.5_mid_focal,0.5,0.5,focal,2.0,overall_f1,121.0,96.0,D,3,0.6499599336008101,0.014813441327961346,0.6570526387193054,0.01353971660825029,0.6797626385577881,0.03505947550570115,0.6290459230113788,0.005495601700024208,0.718582791033984,0.005424439431239598
exp_0007_Cmedian_gap_pow_k1.0_p0.5_mid_focalg1.0,1.0,0.5,focal,1.0,overall_f1,121.0,96.0,A,3,0.639712601811673,0.030867042792107263,0.6397212047212048,0.037168167024329166,0.6654168670835336,0.02097414808294966,0.6301626121540723,0.005009608056442026,0.7197396963123643,0.003036876355748365
exp_0007_Cmedian_gap_pow_k1.0_p0.5_mid_focalg1.0,1.0,0.5,focal,1.0,overall_f1,121.0,96.0,B,3,0.6521335332676225,0.005591174853500863,0.6944247727581061,0.012026274811713682,0.6386760407348643,0.002318919265503466,0.6373720375300979,0.006188374694575745,0.7227765726681129,0.0039045553145335976
